"src_abb","src_num","tgt_abb","tgt_num","year","intensity_level"
NA,NA,"ABW",533,NA,NA
NA,NA,"AFG",4,NA,NA
NA,NA,"AGO",24,NA,NA
NA,NA,"ALB",8,NA,NA
NA,NA,"ARE",784,NA,NA
NA,NA,"ARG",32,NA,NA
"RUS",643,"ARM",51,1990,1
"RUS",643,"ARM",51,1991,1
NA,NA,"ATG",28,NA,NA
NA,NA,"AUS",36,NA,NA
NA,NA,"AUT",40,NA,NA
NA,NA,"AZE",31,NA,NA
NA,NA,"BDI",108,NA,NA
NA,NA,"BEL",56,NA,NA
NA,NA,"BEN",204,NA,NA
NA,NA,"BFA",854,NA,NA
NA,NA,"BGD",50,NA,NA
NA,NA,"BGR",100,NA,NA
NA,NA,"BHR",48,NA,NA
NA,NA,"BHS",44,NA,NA
NA,NA,"BIH",70,NA,NA
NA,NA,"BLR",112,NA,NA
NA,NA,"BLZ",84,NA,NA
NA,NA,"BOL",68,NA,NA
NA,NA,"BRA",76,NA,NA
NA,NA,"BRB",52,NA,NA
NA,NA,"BRN",96,NA,NA
NA,NA,"BTN",64,NA,NA
NA,NA,"BWA",72,NA,NA
NA,NA,"CAF",140,NA,NA
NA,NA,"CAN",124,NA,NA
NA,NA,"CHE",756,NA,NA
NA,NA,"CHL",152,NA,NA
NA,NA,"CHN",156,NA,NA
NA,NA,"CIV",384,NA,NA
NA,NA,"CMR",120,NA,NA
NA,NA,"COD",180,NA,NA
NA,NA,"COG",178,NA,NA
NA,NA,"COL",170,NA,NA
NA,NA,"COM",174,NA,NA
NA,NA,"CPV",132,NA,NA
NA,NA,"CRI",188,NA,NA
NA,NA,"CUB",192,NA,NA
NA,NA,"CYP",196,NA,NA
NA,NA,"CZE",203,NA,NA
NA,NA,"DEU",276,NA,NA
NA,NA,"DJI",262,NA,NA
NA,NA,"DNK",208,NA,NA
NA,NA,"DOM",214,NA,NA
NA,NA,"DZA",12,NA,NA
NA,NA,"ECU",218,NA,NA
NA,NA,"EGY",818,NA,NA
"DJI",262,"ERI",232,2008,1
NA,NA,"ESP",724,NA,NA
NA,NA,"EST",233,NA,NA
"ERI",232,"ETH",231,1998,2
"ERI",232,"ETH",231,1999,2
"ERI",232,"ETH",231,2000,2
"ERI",232,"ETH",231,2016,1
NA,NA,"FIN",246,NA,NA
NA,NA,"FJI",242,NA,NA
"EGY",818,"FRA",250,1956,2
NA,NA,"FSM",583,NA,NA
NA,NA,"GAB",266,NA,NA
"AFG",4,"GBR",826,2001,2
"ALB",8,"GBR",826,1946,1
"ARG",32,"GBR",826,1982,1
"EGY",818,"GBR",826,1956,2
"EGY",818,"GBR",826,1951,1
"EGY",818,"GBR",826,1952,1
NA,NA,"GEO",268,NA,NA
NA,NA,"GHA",288,NA,NA
NA,NA,"GIN",324,NA,NA
NA,NA,"GLP",312,NA,NA
NA,NA,"GMB",270,NA,NA
NA,NA,"GNB",624,NA,NA
NA,NA,"GNQ",226,NA,NA
NA,NA,"GRC",300,NA,NA
NA,NA,"GRD",308,NA,NA
NA,NA,"GTM",320,NA,NA
